지역,지표_id,연도,지표명,missing_position,nearest_observed_year,distance_from_observation,carry_direction,consecutive_missing_years,long_range_backcast,sensitivity_required,policy_risk_level,missing_cause,cause_status,imputation_policy,block_imputation,analysis_included_after_imputation,original_row_exists,auxiliary_scenario_policy,auxiliary_boundary_year,rule_id,evidence,policy_note
강원,childbirth_perception,2016,출산에 대한 인식,leading_missing,2018,2,backward,2,True,True,high,조사 비실시 연도,confirmed,boundary_carry,False,True,True,,,childbirth_leading_non_survey,configs/structural_indicators_verification.yaml:576,지표의 첫 비교 가능 관측연도인 2018년 이전 구간이다.
강원,childbirth_perception,2017,출산에 대한 인식,leading_missing,2018,1,backward,2,True,True,high,조사 비실시 연도,confirmed,boundary_carry,False,True,True,,,childbirth_leading_non_survey,configs/structural_indicators_verification.yaml:576,지표의 첫 비교 가능 관측연도인 2018년 이전 구간이다.
강원,childbirth_perception,2019,출산에 대한 인식,intermediate_missing,,,,,False,False,not_applicable,조사 비실시 연도,confirmed,linear_interpolation,False,True,True,,,childbirth_interior_non_survey,configs/structural_indicators_verification.yaml:576,2018·2020·2022·2024 관측값 사이의 비조사연도이다.
강원,childbirth_perception,2021,출산에 대한 인식,intermediate_missing,,,,,False,False,not_applicable,조사 비실시 연도,confirmed,linear_interpolation,False,True,True,,,childbirth_interior_non_survey,configs/structural_indicators_verification.yaml:576,2018·2020·2022·2024 관측값 사이의 비조사연도이다.
강원,childbirth_perception,2023,출산에 대한 인식,intermediate_missing,,,,,False,False,not_applicable,조사 비실시 연도,confirmed,linear_interpolation,False,True,True,,,childbirth_interior_non_survey,configs/structural_indicators_verification.yaml:576,2018·2020·2022·2024 관측값 사이의 비조사연도이다.
강원,childcare_equal_participation,2016,돌봄노동 공동 참여도,leading_missing,2020,4,backward,4,True,True,high,조사 비실시 연도,confirmed,boundary_carry,False,True,False,,,family_survey_boundary_non_survey,configs/structural_indicators_verification.yaml:790,2020·2023 관측 범위 밖의 비조사연도이며 본계열 boundary carry 후보이다.
강원,childcare_equal_participation,2017,돌봄노동 공동 참여도,leading_missing,2020,3,backward,4,True,True,high,조사 비실시 연도,confirmed,boundary_carry,False,True,False,,,family_survey_boundary_non_survey,configs/structural_indicators_verification.yaml:790,2020·2023 관측 범위 밖의 비조사연도이며 본계열 boundary carry 후보이다.
강원,childcare_equal_participation,2018,돌봄노동 공동 참여도,leading_missing,2020,2,backward,4,True,True,high,조사 비실시 연도,confirmed,boundary_carry,False,True,False,,,family_survey_boundary_non_survey,configs/structural_indicators_verification.yaml:790,2020·2023 관측 범위 밖의 비조사연도이며 본계열 boundary carry 후보이다.
강원,childcare_equal_participation,2019,돌봄노동 공동 참여도,leading_missing,2020,1,backward,4,True,True,high,조사 비실시 연도,confirmed,boundary_carry,False,True,False,,,family_survey_boundary_non_survey,configs/structural_indicators_verification.yaml:790,2020·2023 관측 범위 밖의 비조사연도이며 본계열 boundary carry 후보이다.
강원,childcare_equal_participation,2021,돌봄노동 공동 참여도,intermediate_missing,,,,,False,False,not_applicable,조사 비실시 연도,confirmed,linear_interpolation,False,True,False,,,family_survey_interior_non_survey,configs/structural_indicators_verification.yaml:790,2020년과 2023년 실제 관측값 사이의 비조사연도이다.
강원,childcare_equal_participation,2022,돌봄노동 공동 참여도,intermediate_missing,,,,,False,False,not_applicable,조사 비실시 연도,confirmed,linear_interpolation,False,True,False,,,family_survey_interior_non_survey,configs/structural_indicators_verification.yaml:790,2020년과 2023년 실제 관측값 사이의 비조사연도이다.
강원,childcare_equal_participation,2024,돌봄노동 공동 참여도,trailing_missing,2023,1,forward,1,False,True,medium,조사 비실시 연도,confirmed,boundary_carry,False,True,False,,,family_survey_boundary_non_survey,configs/structural_indicators_verification.yaml:790,2020·2023 관측 범위 밖의 비조사연도이며 본계열 boundary carry 후보이다.
강원,delivery_bed_supply,2016,(대체)분만실 병상수 보급도,leading_missing,,,,,False,False,not_applicable,원자료 부재,confirmed,keep_missing,True,False,True,,,delivery_bed_before_source_start,reports/20260725_구조환경지표_통합파일_결측치_검증_결과.md:59,"원자료는 2018년 3분기부터 시작한다. 20260725 검증 리포트가 이 구간을 ""통계 자체가 최근에 신설됨(시계열 시작점 문제)""으로 분류하고 보간(경계값 이월 포함) 불가로 판단했으므로 boundary_carry를 적용하지 않고 결측으로 유지한다."
강원,delivery_bed_supply,2017,(대체)분만실 병상수 보급도,leading_missing,,,,,False,False,not_applicable,원자료 부재,confirmed,keep_missing,True,False,True,,,delivery_bed_before_source_start,reports/20260725_구조환경지표_통합파일_결측치_검증_결과.md:59,"원자료는 2018년 3분기부터 시작한다. 20260725 검증 리포트가 이 구간을 ""통계 자체가 최근에 신설됨(시계열 시작점 문제)""으로 분류하고 보간(경계값 이월 포함) 불가로 판단했으므로 boundary_carry를 적용하지 않고 결측으로 유지한다."
강원,family_friendly_certification_rate,2016,가족친화 인증기업 비율,leading_missing,,,,,False,False,not_applicable,원인 미확정,unresolved,pending_review,True,False,True,auxiliary_raking_composition_ratio,,family_friendly_provincial_unresolved,configs/structural_indicators_verification.yaml:518,"공식 명단을 확보하지 못한 17개 시도의 2016·2017·2019년 51건은 임의 대체하지 않는다. 2019(중간 결측)는 2018·2020 선형보간 후 전국 실측 합계로 raking, 2016·2017(선행 결측)은 2018년 지역 구성비 × 해당 연도 전국 실측 합계로 추정한 보조 시나리오만 별도 열에 기록한다(`reports/20260805_가족친화_지역별_51건_보조시나리오_후보.csv`)."
강원,family_friendly_certification_rate,2017,가족친화 인증기업 비율,leading_missing,,,,,False,False,not_applicable,원인 미확정,unresolved,pending_review,True,False,True,auxiliary_raking_composition_ratio,,family_friendly_provincial_unresolved,configs/structural_indicators_verification.yaml:518,"공식 명단을 확보하지 못한 17개 시도의 2016·2017·2019년 51건은 임의 대체하지 않는다. 2019(중간 결측)는 2018·2020 선형보간 후 전국 실측 합계로 raking, 2016·2017(선행 결측)은 2018년 지역 구성비 × 해당 연도 전국 실측 합계로 추정한 보조 시나리오만 별도 열에 기록한다(`reports/20260805_가족친화_지역별_51건_보조시나리오_후보.csv`)."
강원,family_friendly_certification_rate,2019,가족친화 인증기업 비율,intermediate_missing,,,,,False,False,not_applicable,원인 미확정,unresolved,pending_review,True,False,True,auxiliary_raking_composition_ratio,,family_friendly_provincial_unresolved,configs/structural_indicators_verification.yaml:518,"공식 명단을 확보하지 못한 17개 시도의 2016·2017·2019년 51건은 임의 대체하지 않는다. 2019(중간 결측)는 2018·2020 선형보간 후 전국 실측 합계로 raking, 2016·2017(선행 결측)은 2018년 지역 구성비 × 해당 연도 전국 실측 합계로 추정한 보조 시나리오만 별도 열에 기록한다(`reports/20260805_가족친화_지역별_51건_보조시나리오_후보.csv`)."
강원,household_chore_equal_participation,2016,가사노동 공동 참여도,leading_missing,2020,4,backward,4,True,True,high,조사 비실시 연도,confirmed,boundary_carry,False,True,False,,,family_survey_boundary_non_survey,configs/structural_indicators_verification.yaml:790,2020·2023 관측 범위 밖의 비조사연도이며 본계열 boundary carry 후보이다.
강원,household_chore_equal_participation,2017,가사노동 공동 참여도,leading_missing,2020,3,backward,4,True,True,high,조사 비실시 연도,confirmed,boundary_carry,False,True,False,,,family_survey_boundary_non_survey,configs/structural_indicators_verification.yaml:790,2020·2023 관측 범위 밖의 비조사연도이며 본계열 boundary carry 후보이다.
강원,household_chore_equal_participation,2018,가사노동 공동 참여도,leading_missing,2020,2,backward,4,True,True,high,조사 비실시 연도,confirmed,boundary_carry,False,True,False,,,family_survey_boundary_non_survey,configs/structural_indicators_verification.yaml:790,2020·2023 관측 범위 밖의 비조사연도이며 본계열 boundary carry 후보이다.
강원,household_chore_equal_participation,2019,가사노동 공동 참여도,leading_missing,2020,1,backward,4,True,True,high,조사 비실시 연도,confirmed,boundary_carry,False,True,False,,,family_survey_boundary_non_survey,configs/structural_indicators_verification.yaml:790,2020·2023 관측 범위 밖의 비조사연도이며 본계열 boundary carry 후보이다.
강원,household_chore_equal_participation,2021,가사노동 공동 참여도,intermediate_missing,,,,,False,False,not_applicable,조사 비실시 연도,confirmed,linear_interpolation,False,True,False,,,family_survey_interior_non_survey,configs/structural_indicators_verification.yaml:790,2020년과 2023년 실제 관측값 사이의 비조사연도이다.
강원,household_chore_equal_participation,2022,가사노동 공동 참여도,intermediate_missing,,,,,False,False,not_applicable,조사 비실시 연도,confirmed,linear_interpolation,False,True,False,,,family_survey_interior_non_survey,configs/structural_indicators_verification.yaml:790,2020년과 2023년 실제 관측값 사이의 비조사연도이다.
강원,household_chore_equal_participation,2024,가사노동 공동 참여도,trailing_missing,2023,1,forward,1,False,True,medium,조사 비실시 연도,confirmed,boundary_carry,False,True,False,,,family_survey_boundary_non_survey,configs/structural_indicators_verification.yaml:790,2020·2023 관측 범위 밖의 비조사연도이며 본계열 boundary carry 후보이다.
강원,housework_gender_equality,2017,가사분담에 대한 성평등 인식,intermediate_missing,,,,,False,False,not_applicable,조사 비실시 연도,confirmed,pending_review,True,False,True,,,nonlinear_housework_pending_review,reports/20260725_구조환경지표_통합파일_결측치_검증_결과.md:78,비선형 변환 전 구성요소와 변환 후 지표 중 어느 단계에서 처리할지 검토가 필요하다.
강원,housework_gender_equality,2019,가사분담에 대한 성평등 인식,intermediate_missing,,,,,False,False,not_applicable,조사 비실시 연도,confirmed,pending_review,True,False,True,,,nonlinear_housework_pending_review,reports/20260725_구조환경지표_통합파일_결측치_검증_결과.md:78,비선형 변환 전 구성요소와 변환 후 지표 중 어느 단계에서 처리할지 검토가 필요하다.
강원,housework_gender_equality,2021,가사분담에 대한 성평등 인식,intermediate_missing,,,,,False,False,not_applicable,조사 비실시 연도,confirmed,pending_review,True,False,True,,,nonlinear_housework_pending_review,reports/20260725_구조환경지표_통합파일_결측치_검증_결과.md:78,비선형 변환 전 구성요소와 변환 후 지표 중 어느 단계에서 처리할지 검토가 필요하다.
강원,housework_gender_equality,2023,가사분담에 대한 성평등 인식,intermediate_missing,,,,,False,False,not_applicable,조사 비실시 연도,confirmed,pending_review,True,False,True,,,nonlinear_housework_pending_review,reports/20260725_구조환경지표_통합파일_결측치_검증_결과.md:78,비선형 변환 전 구성요소와 변환 후 지표 중 어느 단계에서 처리할지 검토가 필요하다.
강원,income_satisfaction,2016,소득만족도,leading_missing,2017,1,backward,1,False,True,medium,조사 비실시 연도,confirmed,boundary_carry,False,True,True,auxiliary_boundary_interpolation,2015,income_leisure_leading_non_survey,configs/structural_indicators_verification.yaml:145,본계열은 boundary carry 후보이며 2015년 값은 별도 보조 시나리오에서만 사용한다.
강원,income_satisfaction,2018,소득만족도,intermediate_missing,,,,,False,False,not_applicable,조사 비실시 연도,confirmed,linear_interpolation,False,True,True,,,income_leisure_interior_non_survey,reports/20260725_구조환경지표_통합파일_결측치_검증_결과.md:57,실제 관측값 사이의 비조사연도로 본계열 선형보간 후보이다.
강원,income_satisfaction,2020,소득만족도,intermediate_missing,,,,,False,False,not_applicable,조사 비실시 연도,confirmed,linear_interpolation,False,True,True,,,income_leisure_interior_non_survey,reports/20260725_구조환경지표_통합파일_결측치_검증_결과.md:57,실제 관측값 사이의 비조사연도로 본계열 선형보간 후보이다.
강원,income_satisfaction,2022,소득만족도,intermediate_missing,,,,,False,False,not_applicable,조사 비실시 연도,confirmed,linear_interpolation,False,True,True,,,income_leisure_interior_non_survey,reports/20260725_구조환경지표_통합파일_결측치_검증_결과.md:57,실제 관측값 사이의 비조사연도로 본계열 선형보간 후보이다.
강원,income_satisfaction,2024,소득만족도,trailing_missing,2023,1,forward,1,False,True,medium,조사 비실시 연도,confirmed,boundary_carry,False,True,True,auxiliary_boundary_interpolation,2025,income_leisure_trailing_non_survey,configs/structural_indicators_verification.yaml:145,본계열은 boundary carry 후보이며 2025년 값은 별도 보조 시나리오에서만 사용한다.
강원,leisure_satisfaction,2016,여가생활 만족도,leading_missing,2017,1,backward,1,False,True,medium,조사 비실시 연도,confirmed,boundary_carry,False,True,True,auxiliary_boundary_interpolation,2015,income_leisure_leading_non_survey,configs/structural_indicators_verification.yaml:145,본계열은 boundary carry 후보이며 2015년 값은 별도 보조 시나리오에서만 사용한다.
강원,leisure_satisfaction,2018,여가생활 만족도,intermediate_missing,,,,,False,False,not_applicable,조사 비실시 연도,confirmed,linear_interpolation,False,True,True,,,income_leisure_interior_non_survey,reports/20260725_구조환경지표_통합파일_결측치_검증_결과.md:57,실제 관측값 사이의 비조사연도로 본계열 선형보간 후보이다.
강원,leisure_satisfaction,2020,여가생활 만족도,intermediate_missing,,,,,False,False,not_applicable,조사 비실시 연도,confirmed,linear_interpolation,False,True,True,,,income_leisure_interior_non_survey,reports/20260725_구조환경지표_통합파일_결측치_검증_결과.md:57,실제 관측값 사이의 비조사연도로 본계열 선형보간 후보이다.
강원,leisure_satisfaction,2022,여가생활 만족도,intermediate_missing,,,,,False,False,not_applicable,조사 비실시 연도,confirmed,linear_interpolation,False,True,True,,,income_leisure_interior_non_survey,reports/20260725_구조환경지표_통합파일_결측치_검증_결과.md:57,실제 관측값 사이의 비조사연도로 본계열 선형보간 후보이다.
강원,leisure_satisfaction,2024,여가생활 만족도,trailing_missing,2023,1,forward,1,False,True,medium,조사 비실시 연도,confirmed,boundary_carry,False,True,True,auxiliary_boundary_interpolation,2025,income_leisure_trailing_non_survey,configs/structural_indicators_verification.yaml:145,본계열은 boundary carry 후보이며 2025년 값은 별도 보조 시나리오에서만 사용한다.
강원,marriage_perception,2017,결혼에 대한 인식,intermediate_missing,,,,,False,False,not_applicable,조사 비실시 연도,confirmed,linear_interpolation,False,True,True,,,social_survey_interior_non_survey,configs/structural_indicators_verification.yaml:460,2016·2018·2020·2022·2024 관측값 사이의 비조사연도이다.
강원,marriage_perception,2019,결혼에 대한 인식,intermediate_missing,,,,,False,False,not_applicable,조사 비실시 연도,confirmed,linear_interpolation,False,True,True,,,social_survey_interior_non_survey,configs/structural_indicators_verification.yaml:460,2016·2018·2020·2022·2024 관측값 사이의 비조사연도이다.
강원,marriage_perception,2021,결혼에 대한 인식,intermediate_missing,,,,,False,False,not_applicable,조사 비실시 연도,confirmed,linear_interpolation,False,True,True,,,social_survey_interior_non_survey,configs/structural_indicators_verification.yaml:460,2016·2018·2020·2022·2024 관측값 사이의 비조사연도이다.
강원,marriage_perception,2023,결혼에 대한 인식,intermediate_missing,,,,,False,False,not_applicable,조사 비실시 연도,confirmed,linear_interpolation,False,True,True,,,social_survey_interior_non_survey,configs/structural_indicators_verification.yaml:460,2016·2018·2020·2022·2024 관측값 사이의 비조사연도이다.
강원,postpartum_center_fee,2016,산후조리원 이용 요금,leading_missing,,,,,False,False,not_applicable,원자료 부재,confirmed,keep_missing,True,False,True,,,postpartum_before_source_start,reports/20260725_구조환경지표_통합파일_결측치_검증_결과.md:59,"승인된 원자료는 2023년부터 존재한다. 20260725 검증 리포트가 이 구간을 ""통계 자체가 최근에 신설됨(시계열 시작점 문제)""으로 분류하고 2023년 값을 과거로 이월하는 것은 존재하지 않는 시계열 구간을 만드는 것이라 보간 불가로 판단했으므로 boundary_carry를 적용하지 않고 결측으로 유지한다."
강원,postpartum_center_fee,2017,산후조리원 이용 요금,leading_missing,,,,,False,False,not_applicable,원자료 부재,confirmed,keep_missing,True,False,True,,,postpartum_before_source_start,reports/20260725_구조환경지표_통합파일_결측치_검증_결과.md:59,"승인된 원자료는 2023년부터 존재한다. 20260725 검증 리포트가 이 구간을 ""통계 자체가 최근에 신설됨(시계열 시작점 문제)""으로 분류하고 2023년 값을 과거로 이월하는 것은 존재하지 않는 시계열 구간을 만드는 것이라 보간 불가로 판단했으므로 boundary_carry를 적용하지 않고 결측으로 유지한다."
강원,postpartum_center_fee,2018,산후조리원 이용 요금,leading_missing,,,,,False,False,not_applicable,원자료 부재,confirmed,keep_missing,True,False,True,,,postpartum_before_source_start,reports/20260725_구조환경지표_통합파일_결측치_검증_결과.md:59,"승인된 원자료는 2023년부터 존재한다. 20260725 검증 리포트가 이 구간을 ""통계 자체가 최근에 신설됨(시계열 시작점 문제)""으로 분류하고 2023년 값을 과거로 이월하는 것은 존재하지 않는 시계열 구간을 만드는 것이라 보간 불가로 판단했으므로 boundary_carry를 적용하지 않고 결측으로 유지한다."
강원,postpartum_center_fee,2019,산후조리원 이용 요금,leading_missing,,,,,False,False,not_applicable,원자료 부재,confirmed,keep_missing,True,False,True,,,postpartum_before_source_start,reports/20260725_구조환경지표_통합파일_결측치_검증_결과.md:59,"승인된 원자료는 2023년부터 존재한다. 20260725 검증 리포트가 이 구간을 ""통계 자체가 최근에 신설됨(시계열 시작점 문제)""으로 분류하고 2023년 값을 과거로 이월하는 것은 존재하지 않는 시계열 구간을 만드는 것이라 보간 불가로 판단했으므로 boundary_carry를 적용하지 않고 결측으로 유지한다."
