연도,지역,원본행,세부사업명,주요내용,수정전_주요내용_정제,수정후_주요내용_정제,변경유형,판단근거,사업분류재정구분,당해예산,전년도예산,증감액,증감율,예산연결상태,기존_대영역,기존_세부영역,라벨영향검토결과,라벨판단근거
2020,부산,804.0,구홈페이지 임신.출산.육아정보 메뉴 개설,구홈페이 제출산장려시책 등 각종. 임신. 출산. 육아관련정책을 수요자 중심의 정보 제공 및 홍보 강화,구홈페이지 임신.출산.육아정보 메뉴 개설 원문: 구홈페이 제출산장려시책 등 각종. 임신. 출산. 육아관련정책을 수요자 중심의 정보 제공 및 홍보 강화,구홈페이 제출산장려시책 등 각종. 임신. 출산. 육아관련정책을 수요자 중심의 정보 제공 및 홍보 강화,의미보존 오류 수정,사업명과 `원문:` 메타 라벨 접두부 제거,자체,0.0,0.0,0.0,,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2020,울산,2171.0,임산부와다자녀가정 행복한마당,"임산부, 초보엄마 및 다자녀가정에게 정서 적 함양으로 출산친화적 분위기 조성","임산부와다자녀가정 행복한마당 원문: 임산부, 초보엄마 및 다자녀가정에게 정서 적 함양으로 출산친화적 분위기 조성","임산부, 초보엄마 및 다자녀가정에게 정서 적 함양으로 출산친화적 분위기 조성",의미보존 오류 수정,사업명과 `원문:` 메타 라벨 접두부 제거,자체,60.0,60.0,0.0,0.0,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2020,충북,4414.0,출생축하 액자발급,출생을 축하하는 의미로 아기 액자 제작하여 출생아 가정에 지급,출생축하 액자발급 원문: 출생을 축하하는 의미로 아기 액자 제작하여 출생아 가정에 지급,출생을 축하하는 의미로 아기 액자 제작하여 출생아 가정에 지급,의미보존 오류 수정,사업명과 `원문:` 메타 라벨 접두부 제거,자체,2.0,2.0,0.0,0.0,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2021,서울,322,다문화가족에 대한 생애주기별 맞춤형 서비스 제공,다+온센터(거점형 다문화교육지원센터)에서 학부모 연수 추진,다온센터(거점형 다문화교육지원센터)에서 학부모 연수 추진,다+온센터(거점형 다문화교육지원센터)에서 학부모 연수 추진,의미보존 오류 수정,고유 사업명 `다+온센터`의 `+` 표기 복구,자체,20.0,20.0,0.0,0.0,키 일치·예산 유지,2. 가족·생활,2-1. 돌봄 여건,기존 라벨 유지,정제문 오류 수정 후에도 사업 목적과 기존 대영역·세부영역의 분류 관계가 유지됨
2021,인천,1747,"저소득층 아동,청소년 구강보건사업","저소득,장애 아동 청소년 구강보건서비스 제공",저소득층 아동 청소년 구강보건서비스 제공,"저소득, 장애 아동 청소년 구강보건서비스 제공",의미보존 오류 수정,`장애` 대상이 삭제되고 `저소득`이 `저소득층`으로 바뀐 의미변경 복구,공통,257.0,257.0,0.0,0.0,키 일치·예산 유지,3. 보건·안전,3-1. 의료서비스 여건,기존 라벨 유지,정제문 오류 수정 후에도 사업 목적과 기존 대영역·세부영역의 분류 관계가 유지됨
2021,인천,1828,다문화가족 생애주기별 맞춤형 서비스,"지원대상 : 유,초,중,고 재(원)학 중인 다문화 학(원)생과 학부모 지원내용 : 학생맞춤형 교육지원 및 다문화 이해제고","지원대상 : 유,초,중,고 재학 중인 다문화 학생과 학부모 지원내용 : 학생맞춤형 교육지원 및 다문화 이해제고","지원대상 : 유,초,중,고 재(원)학 중인 다문화 학(원)생과 학부모 지원내용 : 학생맞춤형 교육지원 및 다문화 이해제고",의미보존 오류 수정,`재원·원생` 의미가 삭제된 대상 범위 축소 복구,공통,2668.0,2719.0,-51.0,-1.9,키 일치·예산 유지,2. 가족·생활,2-1. 돌봄 여건,기존 라벨 유지,정제문 오류 수정 후에도 사업 목적과 기존 대영역·세부영역의 분류 관계가 유지됨
2021,전북,7630,노인일자리사업 수행기관 인프라 확충(시니어클럽 운영지원),"내용: 노인 적합 일자리 개발･보급과 수행 전담기관 지원 시 니어클럽 인건비, 운영비, 사업비 지원","내용: 노인 적합 일자리 개발･보급과 수행 전담기관 지원 시 시니어클럽 인건비, 운영비, 사업비 지원","내용: 노인 적합 일자리 개발･보급과 수행 전담기관 지원 시니어클럽 인건비, 운영비, 사업비 지원",의미보존 오류 수정,`시 니어클럽` 교정 과정에서 추가된 중복 `시` 제거,자체,4481.0,4180.0,301.0,7.2,키 일치·예산 유지,지표체계 외,지표체계 외,기존 라벨 유지,정제문 오류 수정 후에도 사업 목적과 기존 대영역·세부영역의 분류 관계가 유지됨
2023,경기,3663,효문화 지원사업,효 인성 문화 정착으로 고령사회 문제해결과 지역 사회 발전에 이바지,"효문화 지원사업
원문: 효 인성 문화 정착으로 고령사회 문제해결과 지역 사회 발전에 이바지",효 인성 문화 정착으로 고령사회 문제해결과 지역 사회 발전에 이바지,의미보존 오류 수정,사업명과 `원문:` 메타 라벨이 추가된 정제문에서 라벨·사업명 제거,자체,55,49,6,12.2,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,경기,3680,경로당 운영비 지원,"노인들의 자율적인 친목도모. 취미활동, 정보교환 및 여가활동 등을 할 수 있는 건전한 노인여가복지 시설인 경로당의 원활한 운영지원",노인복지시설의 원활한 운영지원,"노인들의 자율적인 친목도모. 취미활동, 정보교환 및 여가활동 등을 할 수 있는 건전한 노인여가복지 시설인 경로당의 원활한 운영지원",의미보존 오류 수정,경로당 운영 목적·활동 정보를 삭제한 과도한 요약 복구,자체,493,493,0,0.0,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,경북,7546,학교밖위기청소년 맞춤형 자립지원,"학교 밖 청소년 검정고시, 기술훈련 지원 등","학교밖위기청소년 맞춤형 자립지원 원문: 학교 밖 청소년 검정고시, 기술훈련 지원 등","학교 밖 청소년 검정고시, 기술훈련 지원 등",의미보존 오류 수정,사업명과 `원문:` 메타 라벨이 추가된 정제문에서 라벨·사업명 제거,자체,80,63,17,27.0,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,서울,180,민간복지 거점기관 활성화 사업,민간복기거점기관을 활성화하여 지역내 복지자원 네크워크 구축,"민간복지 거점기관 활성화 사업
원문: 민간복지 거점기관을 활성화하여 지역내 복지자원 네트워크 구축",민간복지 거점기관을 활성화하여 지역내 복지자원 네트워크 구축,의미보존 오류 수정,사업명과 `원문:` 메타 라벨이 추가된 정제문에서 라벨·사업명 제거,자체,64,64,0,0.0,키 일치·예산 유지,,,재예측 후 변경 시 검토,
