주요내용,주요내용_정제,지역,원본행,세부사업명,판정,판정근거
지원대상 : 8세 미만 모든 아동 지원내용 : 월 10만원 지급,지원대상: 8세 미만 모든 아동 지원내용: 월 10만원 지급,서울,31,아동수당 지원 확대,공백 정리,공백 제거 후 문자열 동일
지원대상 : 기준중위소둑150%이하 출산가정 지원내용 : 출산가정에 산모생아 건강관리사가 방문하여 산후관리 및 신생아 양육지원,지원대상 : 기준중위소득150%이하 출산가정 지원내용 : 출산가정에 산모신생아 건강관리사가 방문하여 산후관리 및 신생아 양육지원,서울,34,산모신생아 건강관리,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
지원대상 : 기준 중위소득 180%이하 가구 지원내용 : 미숙아 및 선천성이상아 의료비 지원,지원대상: 기준 중위소득 180%이하 가구 지원내용: 미숙아 및 선천성이상아 의료비 지원,서울,40,미숙아 및 선천성이상아 의료비 지원 (영유아건강관리),공백 정리,공백 제거 후 문자열 동일
"노인요양시설 이용자 급증에 대비하고, 치매･중풍 등 노인성질환 어르신들이 입소하여 생활할 수 있는 노인요양시설 확충","노인요양시설 이용자 급증에 대비하고, 치매·중풍 등 노인성질환 어르신들이 입소하여 생활할 수 있는 노인요양시설 확충",서울,60,노인요양시설 인프라 구축,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
"지원대상 : 7개시설 지원내용 : 인건비, 관리운영비, 프로그램 사업비 등 지원","지원대상: 7개시설 지원내용: 인건비, 관리운영비, 프로그램 사업비 등 지원",서울,62,노인주거복지시설 (양로원) 운영지원,공백 정리,공백 제거 후 문자열 동일
지원대상 : 시범반 신규채용 보육교사 110명 지원내용 : 시범반 보육교사 인건비 지원,지원대상: 시범반 신규채용 보육교사 110명 지원내용: 시범반 보육교사 인건비 지원,서울,93,국공립어린이집 ‘교사 대 아동 비율 축소’ 시범 추진,공백 정리,공백 제거 후 문자열 동일
지원대상 : 평가 기준을 통과한 서울형 어린이집 지원내용 : 인건비 및 운영비 지원,지원대상: 평가 기준을 통과한 서울형 어린이집 지원내용: 인건비 및 운영비 지원,서울,95,서울형 어린이집 운영,공백 정리,공백 제거 후 문자열 동일
성교육 및 성폭력 에방교육 실시,성교육 및 성폭력 예방교육 실시,서울,110,성폭력 제로 안전한 학교,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
지원대상 : 서울시6개월이상 거주자로 체외수정(신선배아)건강보험 급여 횟수 소진자 지원내용 : 체외수정(신선배아) 시술비 1인 최대 180만원 지원,지원대상 : 서울시 6개월 이상 거주자로 체외수정(신선배아) 건강보험 급여 횟수 소진자 지원내용 : 체외수정(신선배아) 시술비 1인 최대 180만원 지원,서울,127,서울형 난임부부 시술비 지원,공백 정리,공백 제거 후 문자열 동일
"지원대상 : 서울시6개월이상 거주자로 원인불명의 난임부부 지원내용 : 한의약 난임치료(첩약)비 약 120만원 지원(연1회, 총2회)","지원대상 : 서울시 6개월이상 거주자로 원인불명의 난임부부 지원내용 : 한의약 난임치료(첩약)비 약 120만원 지원(연1회, 총2회)",서울,128,서울형 한의약 난임치료 지원,공백 정리,공백 제거 후 문자열 동일
